,Event,City,Stage,Query Date,Query Term,Id,Username,Text,Date,Hashtags,Location
29,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1160321662937706498,jimmyhuiquincy,"Power lines has been restored in Wollaston area today. Thank you, @nationalgridus &amp; @quincymapolice for their quick response today's morning MVA and power outages. #QuincyMA #MBTA #MAtraffic",2019-08-10 22:46:56+00:00,#QuincyMA #MBTA #MAtraffic,
30,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1160215965101113344,jimmyhuiquincy,MVA in Wollaston on Hancock Street. Car took out the utility pole caused a number of power outages in Wollaston district. Our officers from @quincymapolice are on the scene. Seek alternative routes to avoid area on Hancock Street in Wollaston. #QuincyMA #MAtraffic #MBTA,2019-08-10 15:46:56+00:00,#QuincyMA #MAtraffic #MBTA,
31,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1159350162898206726,pettazz,In the Smart Home of tomorrow you can: Control lights with your phone! When the power comes back at 2am after an outage every light turns on at max brightness and you can’t shut them off until your router finishes restarting and your hub reconnects! Play music with your voice!,2019-08-08 06:26:33+00:00,,
32,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1159158031499845632,SGTSmith1981,"Power outage at work, time for a nap!",2019-08-07 17:43:05+00:00,,
33,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1157081396214718471,ColleenT77,"@EversourceMA power outage in Somerville, MA?",2019-08-02 00:11:17+00:00,,
34,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1156748065921011713,David_Oke,Love how national grids power outage started at 5 and they said it would be resolved around 715. At 7 then updated that to 10... More time than the first outage. At 10 they jumped to assessing damage. @nationalgridus... Go home... You're drunk.,2019-08-01 02:06:44+00:00,,
35,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1156656938786131969,KimberlyBookman,"BREAKING: power may not be restored in a #Woburn neighborhood until tonight. Because of the extreme heat and storms forecasted, the Crowne Plaza Boston-Woburn, 15 Middlesex Canal Park Drive, is offering free accommodations to residents affected by the outage. #7news",2019-07-31 20:04:38+00:00,#Woburn #7news,
36,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1156649399528898560,WCVB,Ummm... this is going to make the 4:30 interesting. #wcvb #poweroutage – at Newscenter 5 (WCVB-TV),2019-07-31 19:34:41+00:00,#wcvb #poweroutage,
37,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1153111886055051264,ericfisher,Watching power go out in our neighborhood (and our place)...grid strain/outages out there? @EversourceMA,2019-07-22 01:17:52+00:00,,
38,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1152792120329195520,americocap,Nice power outage in my part of #Dorchester during the hottest night of the year. Anyone else without power? @WelcomeToDot @chipsy231 @universalhub,2019-07-21 04:07:13+00:00,#Dorchester,
39,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1152602227535699968,Jschwa95,Movie idea: Paul McCartney wakes up after a power outage and is the only person who remembers chuck berry,2019-07-20 15:32:40+00:00,,
40,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1152236137915867137,1025Marissa,"With this #heatwave the next couple days, please: • keep hydrated • keep pets inside • check on the older peeps • have a power outage plan • dont leave kids/pets in the car Spread it...Be aware...Be Safe ",2019-07-19 15:17:57+00:00,#heatwave,
41,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1152202376616562694,EricaMattison,Power outage in #Brookline Village this morning @TownofBrookline @BlineTransport – at Brookline Village,2019-07-19 13:03:48+00:00,#Brookline,
42,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1151712891193741313,heartscvm,The power outage was 100% worth it – at Somewhere In Cambridge,2019-07-18 04:38:45+00:00,,
43,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1151684053466329088,edieconstantine,Power outage here...Lightening struck the power lines and we just got our power back...Wicked Weather...,2019-07-18 02:44:10+00:00,,
44,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1151478472612691968,psdifabio,"I can’t wait for the GLX to be finished so those of us in that transit corridor can share in the daily commuter woes of @MBTA delays, derailments, and power outages. Until then I’ll continue to drive the 2.1 miles to work.",2019-07-17 13:07:15+00:00,,
45,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1151476249182769153,RyanMigeed,Power outage on the *usually reliable* Blue Line @MBTA @MassDOT @MassGovernor #mapoli #railmatters @T4MASS @transitmatters – at MBTA Maverick Station,2019-07-17 12:58:25+00:00,#mapoli #railmatters,
46,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1151467924982501378,tonyperry,As I'm watching everyone hail a rideshare due to #blueline power outage how many people are going in the same direction and could share? Waits at airport about 20 min...,2019-07-17 12:25:21+00:00,#blueline,
47,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1151284239930990592,Harborkeepers,"The heat index is rising. Air conditioners will be in full blast this weekend. Power outages are not uncommon in these situations. Make sure your devices are fully charged as we get through this heat wave, stay hydrated &amp; in the shade when possible. ",2019-07-17 00:15:27+00:00,,
48,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1150257865514508289,tcadigan,So funny. The Ghostbusters definitely causes the power outage in NYC tonight,2019-07-14 04:17:00+00:00,,
49,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1150235280294731776,jimmyhuiquincy,I have been briefed on the power outages situation right now in New York. Please remain calm and hang tight while first responders and law enforcement officials are on the scene right now until the further notice. #QuincyMA #NewYorkCityNY,2019-07-14 02:47:15+00:00,#QuincyMA #NewYorkCityNY,
50,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1150212728201650178,xttwo2,earthquakes in California; power outages in NYC. God's punishing blue state america. ,2019-07-14 01:17:38+00:00,,
51,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1150198313465122817,bongs1971,Power outage in NYC ,2019-07-14 00:20:22+00:00,,
52,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1147632689320800256,MayorBrodeur,"Spoke to NGrid about power outage. 2,632 customers out. They do expect it to fix relatively quickly. Stay tuned for further info. @CityofMelrose",2019-07-06 22:25:29+00:00,,
53,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1146582656475439109,J_Evns,"Holy F, you have HALF the train cars with a power outage and then you pull away and don’t wait for anyone to run up to the front of the part of the train that actually works???? Cool can’t wait to wait another 10 minutes for another try at getting on the orange line! @MBTA",2019-07-04 00:53:02+00:00,,
54,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1146486849050992641,PeabodyLight,A motor vehicle accident at Crane and Nichols Sts caused a pole to snap and affect power lines. You may have had a brief outage as PMLP isolated the problem and fed homes from an alternate circuit. Approx. 300 people will have a longer outage as the cables and pole are repaired. ,2019-07-03 18:32:20+00:00,,
55,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1144977587460083713,RevoluSunMass,"Due to the weather, power is out in several areas of Greater #Boston. Is your home protected from outages? Ask us about #battery #storage https://patch.com/massachusetts/burlington/s/grika/another-thunderstorm-on-its-way-with-damaging-wind-hail?utm_source=alert-breakingnews&amp;utm_medium=email&amp;utm_term=weather&amp;utm_campaign=alert",2019-06-29 14:35:04+00:00,#Boston #battery #storage,
56,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1144223571012718592,crdant,"Brief pause in power at home this morning. Everything for our internet has a UPS (ONT, router, WiFi mesh) yet still had an outage. Any thoughts? #lazyweb",2019-06-27 12:38:52+00:00,#lazyweb,
57,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1136639171949400065,WellesleyPolice,WPD Traffic: Traffic lights are out on Rt 9 near Sun Life due to a power outage. The turn around has been closed until power is restored.,2019-06-06 14:21:10+00:00,,
58,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1136230984150654977,pszNicx,The good: My headcold has passed. Feeling better. The bad: Power outage last night. PC not on a protector; surge knocked it out. Hopefully just the power supply.,2019-06-05 11:19:11+00:00,,
59,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1135536207331569668,chipwach,"@EversourceMA I understand the need for occasional planned outages, but when your notification says unto 9 AM and power isn’t in and I call and hear 12:15, I’m not a happy camper. Ref P167005. #workfromhome",2019-06-03 13:18:23+00:00,#workfromhome,
60,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1132301814601326593,anab_morabito,"After 5 months of broken communication - calls that did not go through, that dropped when you mentioned Maduro, power outages that left my grandparents in the dark - I was able to Facetime them &amp; Anuchi today. They arrived to Miami yesterday safe &amp; sound #venezuela #maduro",2019-05-25 15:06:04+00:00,#venezuela #maduro,
61,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1131658752137015306,nicole_sjoblom,That moment when @TuftsUniversity has a campus power outage and you’re trying to finish writing ,2019-05-23 20:30:46+00:00,,
62,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1130566750016348164,jenyp,Customers wait outside after power outage at Chelsea ⁦@MarketBasket⁩ No word on when power will be restored. #Boston25,2019-05-20 20:11:32+00:00,#Boston25,
63,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1128418850947653634,karenmessick,"Harvard @MBTA station power outage, running on backup generator. No kiosks are working to load or buy tickets and a lot of lights are out.",2019-05-14 21:56:33+00:00,,
64,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1126899721765830656,ethocare,"Power outages in Jamaica Plain, where Ethos is headquartered, have forced the shutdown of all our telephone and network systems. We still have limited access to email. Visit http://www.ethocare.org and send us a message through our contact page. We will get back to you ASAP.",2019-05-10 17:20:05+00:00,,
65,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1126144120110579724,PeabodyLight,Our line workers restored power to all customers by 7 p.m. last night. We were able to contact everyone affected by the longest outage by phone. We are thankful that these customers had their numbers up to date in our records! Have you checked you contact information recently?,2019-05-08 15:17:35+00:00,,
66,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1125827561613926400,PeabodyLight,"Power is restored to Technology Dr. Within the next 30 minutes, the majority of Centennial Dr should be energized again. Two addresses, which have been notified, will have a longer outage as a repair is made. Another short outage will occur when the job is completed.",2019-05-07 18:19:42+00:00,,
67,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1124771826859696128,jimfoley,"#InOurBlood ...Favorite playoff memory is 1988 Stanley Cup Finals. The Oilers scored 10 seconds in, a record. Soon, the entire arena was covered in fog - obstructing play. Finally, a massive power outage tuned off the lights. Ultimately the game was cancelled and replayed in EDM ",2019-05-04 20:24:35+00:00,#InOurBlood,
68,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1121930159215513600,bostonlolita,Also I’ve heard there’s no WiFi and random power outages.,2019-04-27 00:12:49+00:00,,
69,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1119243412711063553,Ms_Cheletor,"Working from home is great until the power company knocks 15 minutes before an important conference call... 45 minute power outage, sorry for the inconvenience! And they blocked my driveway. And the coffee shop I ran to started grinding coffee as soon as the call started ",2019-04-19 14:16:38+00:00,,
70,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1117742915848212485,annsaxtonmurphy,Power outage in north #waltham @CityofWaltham Any info? @EversourceMA,2019-04-15 10:54:12+00:00,#waltham,
71,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1111771515056459776,ericfisher,Yes I remember the snow :-) worked most of the day and don't recall power outages being much of anything to write home about. Nothing close to anything last year,2019-03-29 23:25:59+00:00,,
72,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1110725941611950080,lizhmccarthy,@MightySqrl has become THE preferred coffee spot for @alzheimersmanh during power and internet outages. (and sometimes we come after work) Thanks! ,2019-03-27 02:11:15+00:00,,
73,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1109690553459986433,W1PAC,Hmm looks like a partial power outage here at @BostonLogan... – at Boston Logan International Airport (BOS),2019-03-24 05:36:59+00:00,,
74,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1109052727353581569,annsaxtonmurphy,Power outage in #waltham this morning.,2019-03-22 11:22:30+00:00,#waltham,
75,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1107191728245821440,bowiefan,Power outage since 2 a.m. It’s completely dark and perfectly quiet and of course that’s weird so I can’t sleep.,2019-03-17 08:07:33+00:00,,
76,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1100154528454733825,ChiefQuintHoopr,"Eversource Power is out, but the National Grid, Gas Fireplace is roaring. #Eversource #Outage #Electricity #Milton @Milton, Massachusetts https://www.instagram.com/chiefquinthooper/p/BuUh_7JlQUH/?utm_source=ig_twitter_share&amp;igshid=wiw95cb8woes",2019-02-25 22:04:14+00:00,#Eversource #Outage #Electricity #Milton,
77,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1034555049844920320,Shubies,"Another power outage, friends. We will be closed for the night. Sorry for the inconvenience. Stay cool!! @Shubie's Marketplace Wines and Spirits https://www.instagram.com/p/BnCbBQ6h5cV/?utm_source=ig_twitter_share&amp;igshid=aag09mis755y",2018-08-28 21:35:19+00:00,,
78,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1029575588967854081,rossthe8oss,Today’s theme: Mercury is in Retrograde. Ending work with a power outage was cute.,2018-08-15 03:48:43+00:00,,
79,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1025859868220186624,bostonypa,"#cheers! Monsoons and power outages in the #seaportboston didn’t stop us. 7th Annual Sundress And Tie Patio Tour, always in @seaportbos @75 on Liberty Wharf https://www.instagram.com/p/BmEo5GhhgTV/?utm_source=ig_twitter_share&amp;igshid=fq1sxq1gxzrx",2018-08-04 21:43:46+00:00,#cheers #seaportboston,
80,ne_bomb_cyclone,boston,before,2019-10-15,power outage,970367998082076673,3rdgrdcupcakes,"With power outages abound, heaven’s gates take on a different look.… https://www.instagram.com/p/Bf6WIeGjgp2OTsEmtGJTmnTf1vHh1JJJ_InBz00/",2018-03-04 18:38:53+00:00,,
81,ne_bomb_cyclone,boston,before,2019-10-15,power outage,970364032321556486,pyyhkala,"+Mari. Also power outage in Suth Boston. (@The @AbbeyBrookline in Brookline, MA)",2018-03-04 18:23:08+00:00,,
82,ne_bomb_cyclone,boston,before,2019-10-15,power outage,970337872002854916,KevinRyMcCarthy,Keeping Blue Velvet warm during the power outage. #improvisation. Don’t forget the fishies . @… https://www.instagram.com/p/Bf6IbwGAz-L/,2018-03-04 16:39:11+00:00,#improvisation,
83,ne_bomb_cyclone,boston,before,2019-10-15,power outage,969718957392519170,bruinsmike77,Romantic sushi dinner by candle...umm....emergency lights. #poweroutage #itsdark #stupidweather… https://www.instagram.com/p/Bf1u_FWlt48/,2018-03-02 23:39:50+00:00,#poweroutage #itsdark #stupidweather,
84,ne_bomb_cyclone,boston,before,2019-10-15,power outage,969643308673830913,abidecambridge,"Due to a power outage on our block, we are closed for the rest of today! Sorry for any… https://www.instagram.com/p/Bf1LIuTHZ2h/",2018-03-02 18:39:14+00:00,,
85,ne_bomb_cyclone,boston,before,2019-10-15,power outage,944674177465937920,WalthamsFlorist,There is a major power outage in the area. We apologize for any inconvenience this has caused.… https://www.instagram.com/p/BdDx7xjndg2/,2017-12-23 21:00:49+00:00,,
86,ne_bomb_cyclone,boston,before,2019-10-15,power outage,942706718722678784,dcopewbz,Some air travelers at Logan say they can't get a flight to Atlanta until Thurs or Fri due to Atlanta power outage. ,2017-12-18 10:42:51+00:00,,
87,ne_bomb_cyclone,boston,before,2019-10-15,power outage,942700855186350080,dcopewbz,Delta flights to Atlanta cancelled or delayed following power outage at Atlanta airport. ,2017-12-18 10:19:33+00:00,,
88,ne_bomb_cyclone,boston,before,2019-10-15,power outage,925006009353080839,lifeasamaven,These drinks from @sofrabakery were delicious &amp; now that we are in the middle of a power outage… https://www.instagram.com/p/Ba4B4aKj1sL/,2017-10-30 14:26:33+00:00,,
89,ne_bomb_cyclone,boston,before,2019-10-15,power outage,919143289948856320,BBDoughnuts,No power outage for us! Both shops 8a-6p. @sowa_Boston too! @Blackbird Doughnuts https://www.instagram.com/p/BaOX1QxlPaV/,2017-10-14 10:10:11+00:00,,
90,ne_bomb_cyclone,boston,before,2019-10-15,power outage,919025699448553477,BBDoughnuts,fingers crossed we don't get hit by this power outage. stay tuned for an update. @… https://www.instagram.com/p/BaNiWzZFdwq/,2017-10-14 02:22:56+00:00,,
91,ne_bomb_cyclone,boston,before,2019-10-15,power outage,887778051991404545,stacysjuicebars,Attention! We are closing early at 5 pm because of a power outage. Sorry for any inconvenience!… https://www.instagram.com/p/BWvgkx6Ac1u/,2017-07-19 20:55:56+00:00,,
