,Event,City,Stage,Query Date,Query Term,Id,Username,Text,Date,Hashtags,Location
54,ne_bomb_cyclone,boston,before,2019-10-15,power outage,93680418552942592,Daisy_III,Power outage at work. What's going on C-town?!,2011-07-20 13:55:26+00:00,,
55,ne_bomb_cyclone,boston,before,2019-10-15,power outage,90940592141508609,wcvbrhondella,They are hand wringing out clothes at a Brighton Ave laundromat. Power outage from Manhole fire http://yfrog.com/kl9gutjj,2011-07-13 00:28:21+00:00,,
56,ne_bomb_cyclone,boston,before,2019-10-15,power outage,89927655415234560,02445,West Roxbury Power Outage Left 195 Customers in the Dark for 29 Minutes Today http://bit.ly/oKt01Y via http://outside.in/02445,2011-07-10 05:23:18+00:00,,
57,ne_bomb_cyclone,boston,before,2019-10-15,power outage,88978578670231552,BOS311,"Opened report at 31 Heath St, Boston: http://j.mp/ojrRLq. Traffic light out due to power outage. busy intersection...needs a traffic offi...",2011-07-07 14:32:00+00:00,,
58,ne_bomb_cyclone,boston,before,2019-10-15,power outage,88688128595996674,AkmDay,so lucky!! RT @daniellejenkins: Power outage at work? Time to go home,2011-07-06 19:17:52+00:00,,
59,ne_bomb_cyclone,boston,before,2019-10-15,power outage,9087151257948160,jessbidgood,Comcast outage is blowing my mind. Open DNS is like the candle you light during a power outage.,2010-11-29 03:32:00+00:00,,
60,ne_bomb_cyclone,boston,before,2019-10-15,power outage,29496617590,gstellato25,Sweet. Tower stream is experiencing power outages aka most of Cambridge doesn't have Internet access. #firstworldproblems,2010-11-02 18:59:04+00:00,#firstworldproblems,
61,ne_bomb_cyclone,boston,before,2019-10-15,power outage,28517054798,02445,Dean Road Bridge Work Could Cause Power Outages Tonight http://bit.ly/aBA8Gd via http://outside.in/02445,2010-10-23 16:51:43+00:00,,
62,ne_bomb_cyclone,boston,before,2019-10-15,power outage,27552814723,OwenRossMusic,#Allston power outages are killin me.,2010-10-16 15:56:15+00:00,#Allston,
63,ne_bomb_cyclone,boston,before,2019-10-15,power outage,26932666051,topix_ma,"Week in Review: Weapons Found at Scorched Home, Town-wide Power Outage, Appraisals - http://bit.ly/biktx5 #Needham #Massachusetts",2010-10-10 12:31:53+00:00,#Needham #Massachusetts,
64,ne_bomb_cyclone,boston,before,2019-10-15,power outage,26577961704,topix_ma,Power Outage Temporarily Hits Needham - http://bit.ly/bzXvTp #Needham #Massachusetts,2010-10-06 19:20:15+00:00,#Needham #Massachusetts,
65,ne_bomb_cyclone,boston,before,2019-10-15,power outage,26238717381,02467,Power Outage http://bit.ly/9lmuZP via http://outside.in/02467,2010-10-03 04:52:41+00:00,,
66,ne_bomb_cyclone,boston,before,2019-10-15,power outage,25924478510,02465,Power outage shuts down state education department building http://bit.ly/c6ZIeB via http://outside.in/02465,2010-09-29 22:50:53+00:00,,
67,ne_bomb_cyclone,boston,before,2019-10-15,power outage,25924477791,02465,Power outage shuts down state education department building http://bit.ly/93wV3Q via http://outside.in/02465,2010-09-29 22:50:53+00:00,,
68,ne_bomb_cyclone,boston,before,2019-10-15,power outage,25871951639,02453,Power outage shuts down state education department building http://bit.ly/aaCLiA via http://outside.in/02453,2010-09-29 10:50:57+00:00,,
69,ne_bomb_cyclone,boston,before,2019-10-15,power outage,25871951483,02453,Power outage shuts down state education department building http://bit.ly/dCzfuY via http://outside.in/02453,2010-09-29 10:50:57+00:00,,
