,Event,City,Stage,Query Date,Id,Username,Text,Date,Hashtags,Location
107,ne_bomb_cyclone,boston,before,2019-10-15,886371048794587136,kathrynuhrich,Four generations of #CRS presidents. Girl power! @Sheraton Boston Hotel https://www.instagram.com/p/BWlgu8ojSTd/,2017-07-15 23:45:00+00:00,#CRS,
108,ne_bomb_cyclone,boston,before,2019-10-15,885345445211516929,DAVEOPHILLY,Missed the espn espys this year but @ddlovato and I dealt with the power of the gronk and his… https://www.instagram.com/p/BWeOWLKDqTC/,2017-07-13 03:49:37+00:00,,
109,ne_bomb_cyclone,boston,before,2019-10-15,874069352324247552,iamtedford,"When the power of love takes over the love of power, the world will change. @Boston,… https://www.instagram.com/p/BVOGlQ0lYA9/",2017-06-12 01:02:27+00:00,,
110,ne_bomb_cyclone,boston,before,2019-10-15,861007842215677952,LPerille,Love the power of youth voice @massleap poetry slam #ltabma2017 @826boston @bpsicreate #bosarts… https://www.instagram.com/p/BTxS5c_gCA9/,2017-05-07 00:00:40+00:00,#ltabma2017 #bosarts,
111,ne_bomb_cyclone,boston,before,2019-10-15,857952873711374336,lemead,"Such truth to this (quote in blog yesterday). There's power in just listening, just hearing, not… https://www.instagram.com/p/BTblpzIltqn/",2017-04-28 13:41:19+00:00,,
112,ne_bomb_cyclone,boston,before,2019-10-15,856937134082723841,MassLtGov,"Technology has woven its way into our everyday lives & often times for the better, but it also gives people the power to make mistakes. ",2017-04-25 18:25:08+00:00,,
113,ne_bomb_cyclone,boston,before,2019-10-15,851179841210732544,cambridgetable,We're about to serve up some Tartare @cochon555 at the SoWa Power Station. We even have a rare… https://www.instagram.com/p/BSrdowSDPmD/,2017-04-09 21:07:42+00:00,,
114,ne_bomb_cyclone,boston,before,2019-10-15,850083702235435008,sonnypatel,Power of skype &amp; @skypeclassroom allowing @anahikian to bring Dr. Ronak Patel to… https://www.instagram.com/p/BSjrLHcgF-6/,2017-04-06 20:32:03+00:00,,
115,ne_bomb_cyclone,boston,before,2019-10-15,847533347605815296,TripleBRecords,TERROR / ABUSE OF POWER / FAZE / WILD SIDE / PROTESTER +more next weekend in Richmond. Tix… https://www.instagram.com/p/BSRjaFCgmXg/,2017-03-30 19:37:51+00:00,,
116,ne_bomb_cyclone,boston,before,2019-10-15,839892500949188610,TripleBRecords,"Both @terrorhardcore and Abuse of Power will have their new 7""s on BBB available at these gigs!… https://www.instagram.com/p/BRbQwCaAapl/",2017-03-09 17:35:51+00:00,,
117,ne_bomb_cyclone,boston,before,2019-10-15,839632158419480577,moount,"Power Rangers @Boston, Massachusetts https://www.instagram.com/p/BRZaXFlAgH9/",2017-03-09 00:21:20+00:00,,
118,ne_bomb_cyclone,boston,before,2019-10-15,805195098585759744,dcopewbz,Shelter for people affected by Cambridge Fire moved to local high school because of power outage in the area. #wbz,2016-12-03 23:40:45+00:00,#wbz,
